"country","province","date","cases","deaths","recovered"
"3554","Australia","victoria",2020-03-01,7,0,4
"3556","Australia","western australia",2020-03-01,2,1,0
"3565","Australia","australian capital territory",2020-03-02,0,0,0
"3612","Australia","new south wales",2020-03-02,6,0,4
"3615","Australia","northern territory",2020-03-02,0,0,0
"3623","Australia","queensland",2020-03-02,9,0,1
"3636","Australia","south australia",2020-03-02,3,0,2
"3638","Australia","tasmania",2020-03-02,1,0,0
"3643","Australia","victoria",2020-03-02,9,0,4
"3645","Australia","western australia",2020-03-02,2,1,0
"3654","Australia","australian capital territory",2020-03-03,0,0,0
"3701","Australia","new south wales",2020-03-03,13,0,4
"3704","Australia","northern territory",2020-03-03,0,0,0
"3712","Australia","queensland",2020-03-03,11,0,1
"3725","Australia","south australia",2020-03-03,3,0,2
"3727","Australia","tasmania",2020-03-03,1,0,0
"3732","Australia","victoria",2020-03-03,9,0,4
"3734","Australia","western australia",2020-03-03,2,1,0
"3743","Australia","australian capital territory",2020-03-04,0,0,0
"3790","Australia","new south wales",2020-03-04,22,1,4
"3793","Australia","northern territory",2020-03-04,1,0,0
"3801","Australia","queensland",2020-03-04,11,0,1
"3814","Australia","south australia",2020-03-04,5,0,2
"3816","Australia","tasmania",2020-03-04,1,0,0
"3821","Australia","victoria",2020-03-04,10,0,4
"3823","Australia","western australia",2020-03-04,2,1,0
"3832","Australia","australian capital territory",2020-03-05,0,0,0
"3879","Australia","new south wales",2020-03-05,22,1,4
"3882","Australia","northern territory",2020-03-05,1,0,0
"3890","Australia","queensland",2020-03-05,13,0,8
"3903","Australia","south australia",2020-03-05,5,0,2
"3905","Australia","tasmania",2020-03-05,1,0,0
"3910","Australia","victoria",2020-03-05,10,0,7
"3912","Australia","western australia",2020-03-05,3,1,0
"3921","Australia","australian capital territory",2020-03-06,0,0,0
"3968","Australia","new south wales",2020-03-06,26,1,4
"3971","Australia","northern territory",2020-03-06,0,0,0
"3979","Australia","queensland",2020-03-06,13,0,8
"3992","Australia","south australia",2020-03-06,7,0,2
"3994","Australia","tasmania",2020-03-06,1,0,0
"3999","Australia","victoria",2020-03-06,10,0,7
"4001","Australia","western australia",2020-03-06,3,1,0
"4010","Australia","australian capital territory",2020-03-07,0,0,0
"4057","Australia","new south wales",2020-03-07,28,1,4
"4060","Australia","northern territory",2020-03-07,0,0,0
"4068","Australia","queensland",2020-03-07,13,0,8
"4081","Australia","south australia",2020-03-07,7,0,2
"4083","Australia","tasmania",2020-03-07,1,0,0
"4088","Australia","victoria",2020-03-07,11,0,7
"4090","Australia","western australia",2020-03-07,3,1,0
"4099","Australia","australian capital territory",2020-03-08,0,0,0
"4146","Australia","new south wales",2020-03-08,38,2,4
"4149","Australia","northern territory",2020-03-08,0,0,0
"4157","Australia","queensland",2020-03-08,15,0,8
"4170","Australia","south australia",2020-03-08,7,0,2
"4172","Australia","tasmania",2020-03-08,2,0,0
"4177","Australia","victoria",2020-03-08,11,0,7
"4179","Australia","western australia",2020-03-08,3,1,0
"4188","Australia","australian capital territory",2020-03-09,0,0,0
"4235","Australia","new south wales",2020-03-09,48,2,4
"4238","Australia","northern territory",2020-03-09,0,0,0
"4246","Australia","queensland",2020-03-09,15,0,8
"4259","Australia","south australia",2020-03-09,7,0,2
"4261","Australia","tasmania",2020-03-09,2,0,0
"4266","Australia","victoria",2020-03-09,15,0,7
"4268","Australia","western australia",2020-03-09,4,1,0
"4277","Australia","australian capital territory",2020-03-10,0,0,0
"4324","Australia","new south wales",2020-03-10,55,2,4
"4327","Australia","northern territory",2020-03-10,1,0,0
"4335","Australia","queensland",2020-03-10,18,0,8
"4348","Australia","south australia",2020-03-10,7,0,2
"4350","Australia","tasmania",2020-03-10,2,0,0
"4355","Australia","victoria",2020-03-10,18,0,7
"4357","Australia","western australia",2020-03-10,6,1,0
"4366","Australia","australian capital territory",2020-03-11,0,0,0
"4413","Australia","new south wales",2020-03-11,65,2,4
"4416","Australia","northern territory",2020-03-11,1,0,0
"4424","Australia","queensland",2020-03-11,20,0,8
"4437","Australia","south australia",2020-03-11,9,0,2
"4439","Australia","tasmania",2020-03-11,3,0,0
"4444","Australia","victoria",2020-03-11,21,0,7
"4446","Australia","western australia",2020-03-11,9,1,0
"4455","Australia","australian capital territory",2020-03-12,0,0,0
"4502","Australia","new south wales",2020-03-12,65,2,4
"4505","Australia","northern territory",2020-03-12,1,0,0
"4513","Australia","queensland",2020-03-12,20,0,8
"4526","Australia","south australia",2020-03-12,9,0,2
"4528","Australia","tasmania",2020-03-12,3,0,0
"4533","Australia","victoria",2020-03-12,21,0,7
"4535","Australia","western australia",2020-03-12,9,1,0
"4544","Australia","australian capital territory",2020-03-13,1,0,0
"4591","Australia","new south wales",2020-03-13,92,2,4
"4594","Australia","northern territory",2020-03-13,1,0,0
"4602","Australia","queensland",2020-03-13,35,0,8
"4615","Australia","south australia",2020-03-13,16,0,3
"4617","Australia","tasmania",2020-03-13,5,0,0
"4622","Australia","victoria",2020-03-13,36,0,8
"4624","Australia","western australia",2020-03-13,14,1,0
"4633","Australia","australian capital territory",2020-03-14,1,0,0
"4680","Australia","new south wales",2020-03-14,112,2,4
"4683","Australia","northern territory",2020-03-14,1,0,0
"4691","Australia","queensland",2020-03-14,46,0,8
"4704","Australia","south australia",2020-03-14,19,0,3
"4706","Australia","tasmania",2020-03-14,5,0,0
"4711","Australia","victoria",2020-03-14,49,0,8
"4713","Australia","western australia",2020-03-14,17,1,0
"4722","Australia","australian capital territory",2020-03-15,1,0,0
"4769","Australia","new south wales",2020-03-15,134,2,4
"4772","Australia","northern territory",2020-03-15,1,0,0
"4780","Australia","queensland",2020-03-15,61,0,8
"4793","Australia","south australia",2020-03-15,20,0,3
"4795","Australia","tasmania",2020-03-15,6,0,0
"4800","Australia","victoria",2020-03-15,57,0,8
"4802","Australia","western australia",2020-03-15,17,1,0
"4811","Australia","australian capital territory",2020-03-16,2,0,0
"4858","Australia","new south wales",2020-03-16,171,2,4
"4861","Australia","northern territory",2020-03-16,1,0,0
"4869","Australia","queensland",2020-03-16,68,0,8
"4882","Australia","south australia",2020-03-16,29,0,3
"4884","Australia","tasmania",2020-03-16,7,0,0
"4889","Australia","victoria",2020-03-16,71,0,8
"4891","Australia","western australia",2020-03-16,28,1,0
"4900","Australia","australian capital territory",2020-03-17,2,0,0
"4947","Australia","new south wales",2020-03-17,210,4,4
"4950","Australia","northern territory",2020-03-17,1,0,0
"4958","Australia","queensland",2020-03-17,78,0,8
"4971","Australia","south australia",2020-03-17,29,0,3
"4973","Australia","tasmania",2020-03-17,7,0,0
"4978","Australia","victoria",2020-03-17,94,0,8
"4980","Australia","western australia",2020-03-17,31,1,0
"4989","Australia","australian capital territory",2020-03-18,3,0,0
"5036","Australia","new south wales",2020-03-18,267,5,4
"5039","Australia","northern territory",2020-03-18,1,0,0
"5047","Australia","queensland",2020-03-18,94,0,8
"5060","Australia","south australia",2020-03-18,37,0,3
"5062","Australia","tasmania",2020-03-18,10,0,0
"5067","Australia","victoria",2020-03-18,121,0,8
"5069","Australia","western australia",2020-03-18,35,1,0
"5078","Australia","australian capital territory",2020-03-19,4,0,0
"5125","Australia","new south wales",2020-03-19,307,5,4
"5128","Australia","northern territory",2020-03-19,1,0,0
"5136","Australia","queensland",2020-03-19,144,0,8
"5149","Australia","south australia",2020-03-19,42,0,3
"5151","Australia","tasmania",2020-03-19,10,0,3
"5156","Australia","victoria",2020-03-19,121,0,8
"5158","Australia","western australia",2020-03-19,52,1,0
"5167","Australia","australian capital territory",2020-03-20,6,0,0
"5214","Australia","new south wales",2020-03-20,353,6,4
"5217","Australia","northern territory",2020-03-20,3,0,0
"5225","Australia","queensland",2020-03-20,184,0,8
"5238","Australia","south australia",2020-03-20,50,0,3
"5240","Australia","tasmania",2020-03-20,10,0,3
"5245","Australia","victoria",2020-03-20,121,0,8
"5247","Australia","western australia",2020-03-20,64,1,0
"5256","Australia","australian capital territory",2020-03-21,9,0,0
"5303","Australia","new south wales",2020-03-21,436,6,4
"5306","Australia","northern territory",2020-03-21,3,0,0
"5314","Australia","queensland",2020-03-21,221,0,8
"5327","Australia","south australia",2020-03-21,67,0,3
"5329","Australia","tasmania",2020-03-21,16,0,3
"5334","Australia","victoria",2020-03-21,229,0,8
"5336","Australia","western australia",2020-03-21,90,1,0
"5345","Australia","australian capital territory",2020-03-22,19,0,0
"5392","Australia","new south wales",2020-03-22,669,6,4
"5395","Australia","northern territory",2020-03-22,5,0,0
